tweet,subjectivity,ts,actual
"Squid Game | Polymer Clay Sculpture  https://t.co/GvDqIhxcZP  #SquidGame, #KidsAndMyPassion  https://t.co/qMusF5UoJO",objective,y,objective
People where fucking fine watching squid game I'm pretty sure we can watch another show about South Korea,subjective,y,subjective
 @MrBeast Ooof. I really thought about mr beast making a squid game video did thought it would be this fast.,subjective,y,subjective
"Nobody's ✨outraged✨ that Chrissy Tiegen is throwing a Squid Game party. We're more amazed that she's actually THAT tone-deaf. What kind of thought process is that? Like, the rich people ARE THE VILLAINS, Chrissy!",subjective,y,subjective
"😭😭aye those squid game memes are hilarious, especially with the Travis situation",subjective,y,subjective
"You're missing the whole point of Squid Games!!  Yeah, it's also a freaking TV show. It's made for entertainment.   Does anyone get bent out of shape about middle-class folks hosting a Great Gatsby party?",subjective,y,subjective
 @L0VE4MUG1W4RA Squid game,objective,y,objective
" @BuzzFeed The rich are so clueless, so hopelessly out of touch. Squid Game is a criticism of the inhuman system of competition and wealth accumulation created by the wealthy, and they're like ""Oh how cute let's make that our party theme""",subjective,y,subjective
 @Luleko_Mtshali  @casspernyovest That's when I knew Squid Game is the real shit. 🔥,subjective,y,subjective
 @unfIowsun squid games kali ahh,objective,y,objective
Half way through this squid games character for a customer. What do you think of it so far?  https://t.co/fxZ9JqOXPW,objective,y,objective
Hmmmmmm should I be in woman business today or be heathen today such a hard choice 🤔,objective,y,objective
Is this the 'Squid Game' everyone keeps talking about?  https://t.co/pk3Y97ARWJ,objective,y,objective
" @OsaFeisty_ I agree. But is this particular one tone-deaf though? She's like the 3rd person I've seen do a squid game themed party, and it seems people were quite entertained by the others.",subjective,y,subjective
I've had some wild ass dreams the last 2 nights. I just woke up from a Squid games-like one. I was in Hawai'i trekking around a puzzle/maze in alleys. The last one they were drugging women for photos. They tried to drug me but I fought my way out. I found my friend…,subjective,y,subjective
"Tau takes on Squid games and making rotis. Meet the messiah of single people.. your Thug Tau. Like , share and subscribe.   #thugtau #singleisswag #normalizebeingsingle #squidgame #bonobology  https://t.co/SFGxTGlnKI",objective,y,objective
 @iamshakeena Sis I'm actually tired of it. I can't believe they got rid of the crossing??? It's like a Squid game ffs,subjective,y,subjective
 @melissa01308  @reintpete2182 Right.,subjective,y,subjective
" @Kaushalshaz  @ShibaAustralia  @binance It also helps for the stability and reliability of the market, as much for us as for everyone else. It makes you trust a cryptocurrency !",objective,y,objective
I'm American but I'm not like other Americans. I'm learning Korean not because of Squid Game. I've been learning Korean since July 2020 (according to #Duolingo)…so yeah! Way before  #SquidGame  https://t.co/sP8GkSwya9,subjective,y,subjective
 @hmalviya9 Bullseye. People are looking at squid game kind of tokens as investments. Heights,subjective,y,subjective
 @MrBeast I am willing to bet you were behind that Squid Game cryptocurrency rugpull. I wouldn't be surprised. Seeing as what you did with #refinablescam,subjective,y,subjective
"People who aren't politically motivated watch squid game and just see the entertainment, the lesson or the point is almost never realized.",subjective,y,subjective
Squid game real time wake up  https://t.co/ZkILfaK1cE,objective,y,objective
 @glorparoo  @TheDeepCut1 You don't see the irony of Squid Game being the most popular tv show EVER? Clearly people find this sh*t entertaining.,subjective,y,subjective
I cannot help feeling that wealthy people like #SquidGame because the idea of offering poor people money to die in horrible ways really appeals to them.  https://t.co/2lYkRzT4cY,subjective,y,subjective
Am I the only one who watched the 1st 10 minutes of Squid Game and turned it off? 🤔,subjective,y,subjective
jhope looks like that character on squid game 😭  #In_the_SOOP  https://t.co/v7w0Ji7kjD,subjective,y,subjective
"see, my uni did squid game but with a bunch of broke college students competing for 4 dollars so id say its a pretty accurate recreation minus the death part. we didnt miss the point, WE ARE THE POINT",subjective,y,subjective
When squid went back from the games  https://t.co/tHwf4xv2Iu,objective,y,objective
 @MrBeast make them split up into videos like a series and basically remake squid game but it's better cuz it's beast,subjective,y,subjective
 @adrian_forreal  @BED_YouTube  @BuzzFeed Wow! Squid game is “our thing” now (poor people's)? Shut uppp,subjective,y,subjective
is this what i get for accidentally spoiling squid game for a bunch of people,subjective,y,subjective
 @rfsquared  @100trillionUSD Global Squid Game! ☢'☢'☢',objective,y,objective
 @SOLsquidToken good project  @q_tripsi   @Arathea161   @sinbizgo   $SOL #SOL #SolanaAirdrop #SOLsquid #squid #SquidGame #memecoin #Solana #Airdrop,objective,y,objective
 @DaRealWhizz They will leave once u threat them,subjective,y,subjective
" @notgavin  @James78520951  @shelbyjohoch  @BuzzFeed the stupid celebrities for misunderstanding art. Also squid games is alot more balant in its ideology than star wars, which commercialised IP and lore has somewhat overshadowed its original imperial comment",subjective,y,subjective
"Idk but the moment I saw Hobi, yeong-hee, from squid game immediately crossed my mind  https://t.co/gvCUFJIn3G",subjective,y,subjective
 @jendry_baby Ppl hella mad she threw a lavish Squid Games party 😂 every time I see her name she getting cooked,subjective,y,subjective
 @newdalton69420 The real body problem is they never have had texas toast. Look what texas toast did for South Korea after the influence of the U.S and Allies in the Korean War. Everyone loves K-Pop and Squid game. The western world needs to flex a lil mor,subjective,y,subjective
 @BuzzFeed So many people were doing squid game themed parties. Like it's not that big of a deal! It's a tv show 😂,objective,y,objective
OK the Squid Game marketing has officially gone too far,subjective,y,subjective
mrbeast squid game is almost out... i think a new video is coming out,subjective,y,subjective
#SquidGame Party ... #ChrissyTeigen gets it wrong EVERY time!  How the heck is that even possible????  @JohnLegend,subjective,y,subjective
"In this point in time, I could use a squid game invitation.",objective,y,objective
 @BuzzFeed It's not real. The squid games are not real. The movie was made to tell a story and for profit. Grow up  @BuzzFeed .,subjective,y,subjective
 @nftpromo_ Hello 1 NFT Buy = 1 NFT Free I give 500 NFT Squid Game  https://t.co/oKvLcbOqxQ,objective,y,objective
 @styleWishh Hello 1 NFT Buy = 1 NFT Free I give 500 NFT Squid Game  https://t.co/oKvLcbOqxQ,objective,y,objective
" @ASovietOnion i consider hellish game shows in the squid game style a very light punishment for the bourgeoisie, therefor it will be allowed",subjective,y,subjective
 @TheNFTFocal Hello 1 NFT Buy = 1 NFT Free I give 500 NFT Squid Game  https://t.co/oKvLcbOqxQ,objective,y,objective
so if elle fanning is a squid game stan means that nicholas hoult is too and that could also mean james mcavoy watched squid game i connected the dots!  https://t.co/7IPVyZ5SAS,subjective,y,subjective
my phone's been 2 percent the whole hour I got that phone like that guy in squid games  https://t.co/AcCDVqT2xN,subjective,y,subjective
 @ronaljimho In my view Your living life in the Squid Game. They've had to impose Vaccine In Austria because they are the home of the Conspiracy Authors and they are stupid enough to believe it. Thankfully UK has largely accepted Vaccine and our lives,subjective,y,subjective
Throwing a squid game party wouldn't be as poor taste as throwing a Parasite party and I think that's the only lesson we need to remember here,subjective,y,subjective
 @MrBeast The Squid Game?!,objective,y,objective
"So after Bezos, Musk and all these politicians, Chrissy Tiegan is next, right? And John, too. He knows exactly who she is. One person can't be that dumb. A millionaire having a squid game party. Jesus. I hate it here.",subjective,y,subjective
 @ankara_kusu Squid game mi,objective,y,objective
" @nousagomasumi Why am I getting Squid game roster vibes? As number 1, I have a bad feeling about episode 6...",subjective,y,subjective
"She can be annoying at times but, on this one here, IG/Twitter is being way too judgy, sensitive, over-woke and overall ""irky""  ""Chrissy Teigen Is Facing Backlash For Hosting A Lavish ""Squid Game""-Themed Party""   https://t.co/76gLpWQ1a8",subjective,y,subjective
 @mel_med_larson  @Ceilidhann Squid Game does reference people dying in real life. The company that Gi-hun worked for in the show is based on a real one who's restructuring lead to the deaths of dozens of employees. Everything that happens in that show is a,subjective,y,subjective
" @dragoncloudwish  @hpfan_92  @BuzzFeed What's ironic is the fact that squid game itself IS A PART OF CAPITALISM. Netflix made SHIT TONS of money off the show, the actors and actresses are at least millionaires before the show. So rich people in America can'",subjective,y,subjective
The squid game understander has entered the chat,subjective,y,subjective
 @army_shiba Now is clearly the time to take this pics out ! 🚀😂  #shibainu #ShibaCoin,subjective,y,subjective
Just saw the announcement for Season 2 of Squid games and wtf is it supposed to be about💀? 067 is gone I'm no longer interested,subjective,y,subjective
 @binance Please list the #SQUID🐙,subjective,y,subjective
"Chrissy Tiegen is a fucking idiot.  She's said and done some horrible shit.   I'm not surprised by the ""Squid Game"" party.  But I know she's going to do the whole cry and meltdown shit and that's what irks me.  If you insist upon being awful, at least stand in.  Don't cry.",subjective,y,subjective
This is out of nowhere but I prefer to watch Black Mirror 6 (if somehow they plan to make another one) than Squid Game 2 🤔,subjective,y,subjective
 @nftblack_ #456 Kitty in Squid game 🦑🕹' 💜😍  https://t.co/oSRt5bO9VX,subjective,y,subjective
 @thevellimemer1 Squid game contestant. ☠',subjective,y,subjective
PLS THESE 3 CHARACTERS ARE REALLY GIVING SQUID GAME VIBES 😭 LIKE THE TWO FOR THEIR CLOTHES JUST LIKE THE DOLL IN SG AND THIS MYSTERIOUS BOY WHO CAN'T EVEN SHOW HIS FACE JUST LIKE THE SG GUARD 🤣  #HappinessEp5  https://t.co/pDu1iX9hy8,subjective,y,subjective
 @AlbertsStuff  @MrBeast Squid game  G g Guard 😔,subjective,y,subjective
Squid Game. 👀  #SymbolismWillBeTheirDownFall #SquidGame #Illuminati #SatanicCult #Elite #Freemasons #Government #Bankers #Royals #Celebrities #OneBigCult #Netflix #NetflixSeries #Wakeup #RightInOurFaces #Disturbing #EnoughIsEnough  https://t.co/LM1Ed0izUf,subjective,y,subjective
So ppl were 100% OK with celebrities like lizzo and Kerry Washington dressing up as the characters from #SquidGame for Halloween but are bashing Chrissy and John (because it was both of them) for hosting a themed party....  MAKE IT MAKE SENSE.  🤦🏻'♂'🤦🏻'♂'🤦🏻'♂'🙈,subjective,y,subjective
So ppl were 100% OK with celebrities like lizzo and Kerry Washington dressing up as the characters from #SquidGame for Halloween but are bashing Chrissy and John (because it was both of them) for hosting a themed party....  MAKE IT MAKE SENSE.  🤦🏻'♂'🤦🏻'♂'🤦🏻'♂'🙈,subjective,y,subjective
 @SirSethamus That's crazy. That's like saying Chrissy Teigen didn't get Squid Game when she picked her costume.,subjective,y,subjective
" @BuzzFeed Once again  @BuzzFeed you're starting shit. Lizzo and Kerry Washington dressing up as the characters from #SquidGame for Halloween WAS ALRIGHT, but YALL are bashing Chrissy and John (because it was both of them) for hosting a themed party....  MA",subjective,y,subjective
No. This is not Squid Game #Hellbound #지옥 #KimHyunJoo #김현주 #YooAhIn #유아인 #WonJinA #원진아 #ParkJungMin #박정민  https://t.co/cdOThBW3Dp,subjective,y,subjective
 @UnitedAvenger He would be the last man standing in squid games. A lucky manager like him no one will ever see,subjective,y,subjective
chrissyteigen's squid game party is massive cringe but let the rich do what the rich wanna do,subjective,y,subjective
There disparate keep this under 5 today so doesn't squeeze $PROG #SquidGame #fridaymorning #AMCSQUEEZE #AMCAPES  #fairmarket #StockMarket,subjective,y,subjective
" @MosherRom I'm gonna put #EndViolence so all the stans can see this, it's gonna be like squid game but for their names 😂",subjective,y,subjective
"Can't believe all the Squid Game re-enactments taking place everywhere lol I can't relate, that show was traumatic for me. Humanity very dark-sided",subjective,y,subjective
What happened with the 'Squid Game' cryptocurrency? - Yahoo Finance  https://t.co/TwdARUIDCv,objective,y,objective
goes too hard on squid game that tunes a banger,subjective,y,subjective
Never saw Tiger King or Squid Game and I'm better for it.,subjective,y,subjective
 @SusanKim4  @tmj4  @AdrianaMendez Probably a fan of the Squid Games.,subjective,y,subjective
 @BiggBoss  @realsehajpal  @itsmetejasswi  @VootSelect  @justvoot Squid game! #PratikSehajpal,objective,y,objective
So upper class and upper middle class folks will be playing the Squid Game for Christmas. #SquidGame #Christmas #GetYourFuckingTreeQuick,subjective,y,subjective
"Squid Game was “Volunteer Saw”. Instead of a dying old man with an axe to grind, it was a dying old man that got off on peoples desperation.   Teigen is weird, but y'all are taking this way too seriously.",subjective,y,subjective
��  Squid Game Lee Jung-jae's Response to Ignorant Reporter Went VIRAL while...  https://t.co/IQhDZLKGEu via  @YouTube,objective,y,objective
The game is being tested #SquidGame #SquidGames #Airdrops #SolanaAirdrop #SolanaNFT #Solana  https://t.co/jUm6OUtud0,objective,y,objective
"Either they did a Squid Game themed party because they love the show, even though they apparently have no idea what it's about, or they've never watched it and just chose that theme because it was trending?",subjective,y,subjective
ICYMI - #SquidGame crypto scammers rip off investors for millions.   Full story 👇  https://t.co/xQMuEgjg3R,objective,y,objective
Would assume I was in S2 of Squid Game and run a mile,subjective,y,subjective
 @blockzerolabs This one reminds me of squid games! Could easily go for 2.49 ETH.,subjective,y,subjective
Soulja boy made a squid game song,objective,y,objective
"⚡' “Chrissy Teigen Is Facing Backlash For Hosting A Lavish ""Squid Game""-Themed Party” by  @BuzzFeed  https://t.co/A1aIPeCiyP",objective,y,objective
Let's Go #shib !   #shibainu #ShibaCoin,objective,y,objective
"Red Light, Green Light: Twitter Drags Chrissy Teigen Over ‘Squid Game' Party Theme  https://t.co/YoARkvZ5H8",objective,y,objective
There has been talk of a #translatorshortage. The best solution? Pay translators more. Why? Their work is highly visible. It is best to hire a professional.  Learn more in my latest blog:  https://t.co/EeUuXax1s1   @netflix  @hulu  @unistudios #squidgame #squidgamesubtitles  https://t.co/faE8mtO5ZQ,objective,y,objective
" @_dreamy_angel_ squid game pizza pastel pink,yellow,green bunny flowers",objective,y,objective
 HE  SAID  WE  BEEN  POPPING  IN  THE  HOUSE  LIKE  HE  MOVE  ON  THE  SQUID  GAME !,subjective,y,subjective
"baru nonton love alarm, move to heaven, so not worth it, squid game",subjective,y,subjective
"⚡' “Chrissy Teigen Is Facing Backlash For Hosting A Lavish ""Squid Game""-Themed Party” by  @BuzzFeed  https://t.co/MWDee8zIwn",objective,y,objective
"in the history of stupid internet outrage, people getting mad at Chrissy Teigen for hosting Squid Games party has gotta be the dumbest  it is a television show, nerds. it is not a real thing that happened. you're so woke and capitalism is bad we get it but it's a TELEVISION SHOW",subjective,y,subjective
Is Monkey game the next real Squid game? 🙊🦑,subjective,y,subjective
 @Bec2043  @hoffman_noa Post-it note on forehead for 'Who Am I Game?'  Oh how we laughed!,subjective,y,subjective
"World's Finest Assassin is the most popular series on Netflix Japan!  Squid Game is ranked 2nd, while ""Komi Can't Communicate"" is ranked 3rd. Demon Slayer Mugen Train arc is currently at the 6th position. #netflixfestivalJP #DemonSlayer #KomiCantCommunicate  https://t.co/MoVJjHvo9H",objective,y,objective
Squid game 2 starts,objective,y,objective
"Who would host a squid game themed show if it's not the rich with spare cash to waste?   Is it the people struggling to choose between school debts or a new bike that will host it?   Please and please. I do not like this woman, but this is a stupid hill to die on top abeg 🙄🙄",subjective,y,subjective
" @ResusCGMedia Is this that Squid Game show? Don't want to watch it, ever. Not interested.",subjective,y,subjective
Squid game,objective,y,objective
Today's event is RenewableUK's Legal   and  Commercial conference #RUKLegal21   Discussions have been held around all sorts of topics from #COP26 to financing #netzero the #energytransition and #PPA's (and even Squid Game)!   There has also been case studies… https://t.co/bTEVkX4Bdl,objective,y,objective
“Craziest Video Ever”- MrBeast Hypes Up Recreation of Netflix Series Squid Games  https://t.co/CV4pcp9yYF,objective,y,objective
 @eminently_me5  @ThePositiveKing  @BuzzFeed I mean cmon they had a party. It was themed after the squid games. Did they have less fortunate ppl there playing games and killing them? No they didn't. So sit back breathe it out and relax.,subjective,y,subjective
"《Squid Game》Things you missed   and  hidden details [Why is there a ribbon...  https://t.co/2YsKKpwVJH via  @YouTube  Seriously, Squid Game (2021) enthusiasts must watch this video. All these theories are fresh and interesting because the creator connected it with historical records.",objective,y,objective
 @dreamwastaken when we fighting dream? ill beat ur ass at squid games,subjective,y,subjective
"KAPS please I want a sweatshirt with: ""squid game signs ⭕🔺'⬛ under KEMU logo""",objective,y,objective
"Squid Game, por cheso26  https://t.co/jA8flWUI6m  #art #series #tv #tradicional #realista #digital #pintura #color  https://t.co/3hi24KG6Fg",objective,y,objective
" @TheDeepCut1 Clearly, you don't understand Squid Game then...",subjective,y,subjective
Man I had a dream I was in that squid game shit 😂😭,subjective,y,subjective
"No MrBeast did not waste $3M on his Squid Game video… he spent $3M giving people in his local community jobs, paying local vendors and contractors to put this together so that he could entertain people while giving away $1.5M in prizes.  In his Game nobody loses…",subjective,y,subjective
"THIS music (not the squid game bit at the beginning, this was just the first video of his I found with it in)  maybe I've accidentally gone into a portal or something    https://t.co/XjcckVHK42",subjective,y,subjective
 @BuzzFeed did they play the games tho?? not a real 'squid game' party then😅,subjective,y,subjective
KadekFelix That's rich coming from someone who came to my mentions specifically to tear me down with a hyperbolic interpretation I didn't even say. But I'd hardly call contracting people out to build a set of squid games an achievement.,subjective,y,subjective
 @Alli_alt The factory is called Squid Game being watched by terminally online people,objective,y,objective
 @elonmusk Hello 1 NFT Buy = 1 NFT Free I give 500 NFT Squid Game  https://t.co/oKvLcbOqxQ,objective,y,objective
"on the other hand, if I were Chr*ss* T**g*n and always dodging accusations of being out of touch and elitist, I'd be more mindful of throwing a party that basically looks like, ""sucks to be you, poors! man it rocks being rich! squid game was fun, right?"" 🤣🤣🤣",subjective,y,subjective
 @SOLsquidToken Thanks for giving us such a great opportunity. I am enthusiastic about participating in this and also supporting it.  @WaiPhyo1351   @zinmyo1357   @zinmar87   $SOL #SOL #SolanaAirdrop #SOLsquid #squid #SquidGame #memecoin #Solana #Airdrop,subjective,y,subjective
Upon death U on your own … Unless U want to be a slave again … just step into his light new batteries are needed for the newborns 😂 so that aborted Autistic homo god can play with his toys (Squid Games) And to think U go of your own free will then U praise him for this 😂.,subjective,y,subjective
" @SweetOSerenity  @pulperia_boi  @ayyy_yyyy_  @leahroemer Didn't a lot of people dress up as Squid Game characters for Halloween?  Geez, talk about manufactured outrage",subjective,y,subjective
Squid Game Tamil and Telugu Audio will be added on or before 26th of Nov 2021. Thank you For Your Love and Support.  https://t.co/CDWxyXG3HH,objective,y,objective
I had a dream I was in squid games omfg I did not like that,subjective,y,subjective
" @MrBeast The fact I just saw ""if Mr.breast hosted squid game yesterday blows my mind.",subjective,y,subjective
 @nicguy101 happy b,subjective,y,subjective
 @EeveonVP Welcome back to squid game,objective,y,objective
 @xmrns Squid game counts as real life Korean anime,subjective,y,subjective
"#SquidGame is a fantastic #TV show all about the game of survival, with a lot of themes about humanity and doing anything and everything to survive. #Netflix #squidgamenetflix #Podcasts    https://t.co/vSQcoWS9U2",subjective,y,subjective
"Lee Jung-jae, Squid Game star actor, and Shin Min-ah, star of Hometwon Cha-Cha-Cha were revealed to be the newest global brand ambassadors for Gucci on Instagram. They're both charming   and  gorgeous!  Follow for more news and trends  👉🏼  https://t.co/IKb7TZ1IQi  #Teamwild #gucci  https://t.co/ArIZU0MakK",objective,y,objective
 @ThlaylisDen Yeah I've heard good things about it Only problem is I don't have the streaming platforms it's on so rn I kinda can't watch it (along with other shows I wanna watch like Squid Game and Dragon Prince),subjective,y,subjective
" @oliviawashere21  @Class  @MrBeast That's actually not the point of Squid Game, it's just what broke(ish) people who can afford Netflix identify with…",subjective,y,subjective
The #SquidGame Cryptocurrency Hype and Subsequent Crash   https://t.co/grRXKFmF6X  #TheCapital #Crypto #cryptocurrency #bitcoin #BTC #blockchain #finance #business #technology #Fintech #DeFi #NFTs  https://t.co/xVtF6CCjKa,objective,y,objective
I'm finally watching squid games,subjective,y,subjective
"not watching 🦑""squid games"" so i cannot understand the meaning😿",subjective,y,subjective
A new month and Jamie and Bo convene to talk recent watches and share some thoughts on everything from Squid Game to Jungle Cruise!  https://t.co/7evYTyhnND #JungleCruise #squidgame #moviereviews #moviepodcast #moviepodcasts  https://t.co/byJSa9dd9t,objective,y,objective
".... I would totally go to this....   ⚡' “Chrissy Teigen Is Facing Backlash For Hosting A Lavish ""Squid Game""-Themed Party” by  @BuzzFeed  https://t.co/itSgHPnk55",objective,y,objective
 @tsuppecat Gm this actor is so sweet outside of squid game,subjective,y,subjective
Guido Messina x Squid Game  https://t.co/hSiWh9XbNx,objective,y,objective
"OMG! 😮 ⚡' “ #ChrissyTeigen Is Facing Backlash For Hosting A Lavish ""#SquidGame""-Themed #Party ""  https://t.co/u0u6zep4vk",objective,y,objective
Now why did I just get a random call and the squid games music started playing when I answered. 😂,subjective,y,subjective
 @FotoNugget Squid game?,objective,y,objective
 @Grace4NY I don't know what “squid games” is but i know it must be some stupid liberal propaganda,subjective,y,subjective
The kindness you show to others will always find a way of coming back to you. 💖 Grab our personalized Squid Game Mocha Money Cake. 🎂✨  #BlessedCakesAndGoodies  #SquidGame #Mocha #Birthday #MoneyCake #Cake #SanMateoRizal #Rizal #PersonalizedCake #CustomizedCake  https://t.co/FLJhC2N0MU,subjective,y,subjective
Moral gatekeepers of twitter need to stop acting like we haven't all used #SquidGame features on socials or dressed up for Halloween.  Not everything has to be problematic. Chrissy Teigen's party looked epic   and  she has every right to spend money on a bit of fun.   @chrissyteigen,subjective,y,subjective
"the Buzzfeed article about their squid game party literally says ""Chrissy Teigen and John Legend"" threw the party and every tweet I'm seeing is about Chrissy and only Chrissy",subjective,y,subjective
" @colonelnemo if I saw a Squid Game costume at a party i'd probably say ""cool! i've seen that!""l",subjective,y,subjective
 @TheoVip25  @AlbertsStuff Squid Game,objective,y,objective
 @PTINFOPAK 🦑 SQUID GAME SPARKLE 🦑  Nyawa 5  Round 1 (aman) Round 2 (aman) Round 3 (aman) Round 4 (aman) Round 5 (-1)  Sisa nyawa : 4,objective,y,objective
last time I got my oil changed I had just started watching squid game,objective,y,objective
Chrissy Teigen has a squid game themed party with other rich people are y'all mad? Why? She did not round up homeless people in LA and asked them to play till death. She is simply having a good time with her fellow rich people and y'all mad? Why cos you poor? Y'all being pathetic  https://t.co/Kt36j9oWkj,subjective,y,subjective
I finished squid games finally! The hype was right it was excellent.,subjective,y,subjective
What should I wathc on netflix alr watched squid game 4-5 time give suggestion in the replies,subjective,y,subjective
i was wondering what famous idiot would be first to throw a squid game themed party. i'm not surprised at all,subjective,y,subjective
 @leahroemer Wait until you find out how much money the people who produced Squid Games made! (*Whispers* it was a for profit TV show!),subjective,y,subjective
Update: I got laid. Three times actually. It was a great night. Then we watched the first 4 episodes of Squid Game.,subjective,y,subjective
" @MichaelxMyersx Imagine reading the subtitles in squid games, the humour just wouldn't be the same.",subjective,y,subjective
Have you heard ‘Squid Game   and  Do It To It (Zedd Edit)' by  @Zedd on #SoundCloud? #np  https://t.co/hY1nkdlzCh,objective,y,objective
" @NBCAsianAmerica Juxtapose tone-deaf Teigen, Squid-Game themed party.   “In South Korea, the show has resulted in workers using it as inspiration to strike against the government's labor policies.”   https://t.co/YfubgINl8p",objective,y,objective
I'm sorry but squid game is overrated,subjective,y,subjective
" @PatriesDouma Absurd: Happy Squid game maar meerfictief: Alice in Borderland Gewoon grappig: lucifer, the good place, loaded Scandinavisch: broen (the bridge) Scandinavich Marvel: Ragnarok  Reality sport: Lat Chance U, Tony parker the final shot, The Engl",subjective,y,subjective
" @Roblox, stop recommending me #SquidGame remakes. Recommend things I'll actually be interested in playing.",subjective,y,subjective
"Ever wondered why those two notes from Jaws send a shiver down your spine? Or how the tension was built while you were watching Squid Games? Don't worry,  @ClassicFM have you covered!  #understandingmusic #musictheory #tension   https://t.co/UJB3Q2wyOc",subjective,y,subjective
SQUID GAMES 19/11/21  https://t.co/w1Eqn8qAQE,objective,y,objective
i swear people these days can't take a joke or just live life. like dude let her live there is NOTHING wrong with her doing a “squid game” party,subjective,y,subjective
 @pforsen Squid Game!!!  https://t.co/lsws4lnBd3,objective,y,objective
pokemon game out today  https://t.co/RSLIwuSKtR,objective,y,objective
"Loving this tie dye, Squid Game-themed sweater, embroidered by Jenny Quito! 👏 Such a good idea to hop on a show that is trending right now!  Machine: SWD-1501  #Embroidery #EmbroideryMachine #MachineEmbroidery #Ricoma #RicomaMade  #Hoodie #Sweater #Jacket  https://t.co/6zmmRaH7Tj",subjective,y,subjective
"From #BTS to #SquidGame, it seems like #Kpop culture is everywhere these days.  But the K-wave has actually been decades in the making, explains   @nicolesyLIVE.  Watch more videos:  https://t.co/MER991RdAE  https://t.co/OTUECMA3Y4",subjective,y,subjective
"Squid Games is a fictional movie and the characters are not real people, but paid actors. I'm sorry this is a stupid reason to be outraged at Chrissy Teigen.  https://t.co/7AJFQFkQT6",subjective,y,subjective
 @rebecca_spero This looks like where they'll play a low budget squid game. No one will survive sef or even escape,subjective,y,subjective
" @lili_ndungi Are you this angry at the people who made Squid Games, and made a big profit from it? It's entertainment, get over it.",subjective,y,subjective
" @jeff82874662 Me after watching a 10 hours youtube analysis of Squid Game: ""Listen up folks, what the director is trying to say here...""",objective,y,objective
 @davido Organise a squid game. Winner takes it all. 😕,subjective,y,subjective
Watching squid games and train to busan this week just for him  https://t.co/mPVBy4m1JB,objective,y,objective
Why do we act like Squid Games was real?,subjective,y,subjective
same vibes #Evangelion #SquidGame  https://t.co/W3SSaTnTmi,objective,y,objective
"Nikki can't stop talking about ""naay part 2 ang squid game"" 😩",subjective,y,subjective
Just organise a Squid Game.  Winner takes it all. 🥸,subjective,y,subjective
would literally give anything to watch squid game for the first time again nothing compares to watching the last episode for the first time 💥💥💥,subjective,y,subjective
"Sure we don't care DEEPLY that she didn't get the message of the show and no, Squid Game is not activism but eh we're holding a conversation.  I think it's tacky and no I will not remember this at Thanksgiving",subjective,y,subjective
YOU Ends Squid Game's Reign as No. 1 on Nielsen Streaming Ranking  https://t.co/XUnElZzyKM,objective,y,objective
"chinese and japanese were never even liked in the first place AND koreans got made fun of so many times. now it's a trend to like japanese and koreans. side note: stop praising squid game and the characters, it's not all that and the girl is so bland.",subjective,y,subjective
 @archillect Squid games,objective,y,objective
GM Squid Warrior #SquidGame #SquidGames #Airdrops #SolanaAirdrop #SolanaNFT #Solana,objective,y,objective
Do people realise that squidgame is a fictional Netflix thriller 🤷🏿'♀',subjective,y,subjective
 @rebecca_spero House be like say them dey run squid game inside,objective,y,objective
Man if you gotta check they relationship status just to say some basic stuff like that you might as well not follow or be around them,subjective,y,subjective
I think whenever a celebrity misses the point of a piece of media explicitly intended to criticize them and like recreates the squid games because they think it looks fun it's a testament to that media's insight,subjective,y,subjective
 @TheDeepCut1 lmao Crissy Teigan's net worth is literally double the Squid Game prize money that people were literally murdering over 🤡,subjective,y,subjective
Idgaf I'd want an ultra lavish Squid Game party too,subjective,y,subjective
 @BuzzFeed Soooooo only people in debt can have a squid game themed party...ok,subjective,y,subjective
Splatoon doodles ft. Two Splatoon Youtubers   and  Squid Ink Cookie from the hit game Cookie Run  https://t.co/iaQ4jbbsMc,objective,y,objective
 @bumbumtra Squid Game frfr 💪💪,objective,y,objective
 @enriquedcf  @JennyENicholson Reminder that squid game isn't about celebrities,subjective,y,subjective
Pwr squid game can now give u xp since it has accolades every time u complete one of the mini games u get 500 xp,subjective,y,subjective
animalistic urge to be toxic in valorant,subjective,y,subjective
Only Chrissy Teigen could possibly make Squid Game more off-putting than it already was,subjective,y,subjective
People: Let's throw a fit over celebrities hosting Squid Game parties because how dare they not represent the show accurately on real life!  Me: People literally dress up as mass murderers from horror films and frolic in the night every single year. This outrage is bullshit.,subjective,y,subjective
MrBeast Squid Game release date and what games are Included (Full Details)  https://t.co/wRfu6DByTI,objective,y,objective
I dont even care for Chrissy Teigen but for people to get mad at her about the Squid Game theme party is stupid. Are u mad at the costume shops for making the costumes? The news 4 talking about it? How about you be mad at your friend for watching it? It's ridiculous at this point,subjective,y,subjective
21finz just discovered (Squid Game vs Hamster ❤' How To Make Squid Game Playground In Miniature House ❤' Cardboard World) -  https://t.co/V5qk4SbBRQ  https://t.co/HfP4eoUwVH,objective,y,objective
"They should put Chrissy Teigen in Squid Game season 2. This, “outrage” is so dumb it can only have come from boredom and envy. It was one of the most popular Halloween costumes, were all of those people tone deaf too or were you not jealous of their back accounts?",subjective,y,subjective
 @TopshotTandy  @SquiddyNFT Oh shit I didn't even consider this was a big Squid Game trap. RSVP now “maybe.”,subjective,y,subjective
